id,priority,scope,candidate,criterion,literature_basis,literature_url,current_coverage,gap,next_step,status
LG01,P0,all,все,сопоставимые issue positions,Boudreau et al. show that local voters can use comparable candidate and voter positions; Coffé and von Schoultz identify issue positions as direct political information,https://doi.org/10.1177/1065912915609437; https://doi.org/10.1177/0263395720922077,Темы в матрице подбирались адресно и не одинаковы для всех четырёх кандидатов.,Нет единого вопросника по локальным полномочиям и нет симметричного кода позиции/неизвестно по каждому вопросу.,Составить 8–12 одинаковых вопросов; искать личную цитату и фиксировать «в проверенных источниках персональное подтверждение не найдено».,open
LG02,P0,all,все,office-specific competence,Atkeson and Hamel find that voters use occupation as a cue when it is connected to the office; Bernhard and Freeder include experience in quality information search,https://doi.org/10.1007/s11109-018-9486-0; https://doi.org/10.1007/s11109-018-9512-2,Есть разрозненная биография и бизнес-контекст.,Нет сравнимой связи «опыт — задача ЗакСа — результат».,"Собрать релевантные должности, масштаб ответственности и наблюдаемые результаты по одному шаблону.",open
LG03,P0,all,все,promises and retrospective record,Cruz et al. show that voters use current promises and information about fulfillment of past promises to update policy and valence assessments,https://doi.org/10.1093/ej/ueae008,Есть отдельные заявления и поступки; нет единого реестра обещаний.,"Нет дедлайнов, индикаторов результата и проверки выполнения; для действующего депутата нет полной связки с парламентским record.",Сделать таблицу «обещание — срок — компетентный орган — действие — результат — URL».,open
LG04,P0,all,все,campaign finance and compliance,Wood finds that campaign-finance transparency and compliance affect candidate choice beyond policy positions,https://doi.org/10.1007/s11109-022-09776-4,Отчёты ГИК обозначены как направление дальнейшей работы.,"Нет сопоставимой картины доноров, типов поступлений, расходов, независимой агитации и нарушений.",После публикации отчётов ГИК собрать одинаковые поля по всем кандидатам и проверить соблюдение сроков.,open
LG05,P1,all,все,local roots and constituency ties,Shugart et al. identify local birthplace and lower-level experience as personal vote-earning attributes; Schulte-Cloos and Bauer find a localness advantage in single-member districts,https://doi.org/10.1111/j.0092-5853.2005.00133.x; https://doi.org/10.1007/s11109-021-09712-y,Есть отдельные места рождения/работы и районные должности.,"Нет одинакового профиля проживания, работы, муниципальной деятельности и контактов с МО округа.","Разделить место рождения, жительство, работу, прежний мандат и реальные контакты с округом; не выводить локальность из одного признака.",open
LG06,P1,all,все,visibility and accessibility,Bräuninger et al. show that incumbency benefits depend on media visibility and voter knowledge; Galli et al. find that broad disclosure can be little used without engagement,https://doi.org/10.1177/13540688231178265; https://doi.org/10.1007/s11127-025-01325-x,"Соцсети найдены неравномерно; архивы постов, дебатов и ответов несимметричны.","Нет общего среза видимости, публичных встреч, ответов и доступности материалов.",Архивировать один и тот же период и одинаковые типы контакта для каждого кандидата.,open
LG07,P1,all,все,integrity and conflicts,The candidate-information literature treats integrity and non-policy valence as relevant; Galli et al. study CV and criminal-record disclosure in a municipal election,https://doi.org/10.1007/s11127-025-01325-x,"Есть отдельные бизнес-лиды, но не единый официальный аудит.","Нет сопоставимых сведений о доходах/имуществе, компаниях, судах, административных делах, нарушениях и конфликтах интересов.",Проверить официальные декларации и реестры; отделить подтверждённое от поисковых лидов и не смешивать бизнес компании с фактом о кандидате.,open
LG08,P1,all,все,party cue versus personal position,Boudreau et al. show that endorsements can function as quality/viability cues rather than precise issue signals; Coffé and von Schoultz distinguish party affiliation from issue positions,https://doi.org/10.1177/1065912915609437; https://doi.org/10.1177/0263395720922077,Партийный контекст уже отделяется от личных заявлений.,Нет единой сравнительной таблицы «позиция кандидата — позиция партии — уровень атрибуции».,Для каждого тезиса хранить уровень атрибуции и не приписывать партийные заявления кандидату.,open
LG09,P0,candidate,Дудоладов Глеб Борисович,personal programme and CV,Bernhard and Freeder show that voters seek specific policy and experience information in low-information contests; Atkeson and Hamel stress office-specific qualifications,https://doi.org/10.1007/s11109-018-9512-2; https://doi.org/10.1007/s11109-018-9486-0,"В текущей матрице преобладают регистрация, партийный контекст и бизнес-лиды.","Нет подтверждённой личной программы, полного CV, личных каналов, дебатов и встреч с жителями.",Провести одинаковый поиск по личной программе/CV/контактам и зафиксировать отрицательный результат осторожной формулой.,open
LG10,P0,candidate,Гладунов Юрий Николаевич,incumbent record,Cruz et al. make past promise fulfillment relevant; Bräuninger et al. show that incumbency alone is not enough without accessible record and visibility,https://doi.org/10.1093/ej/ueae008; https://doi.org/10.1177/13540688231178265,"Есть депутатская биография, отдельные законопроекты и приёмы граждан.","Нет полной сопоставимой ретроспективы голосований, законопроектов, посещаемости, обращений и результатов.",Собрать парламентский record за созыв и связать его с заявленными целями и итогами обращений.,open
LG11,P1,candidate,Зверев Артём Александрович,fit for regional legislative office,Atkeson and Hamel show that relevant professional experience matters when tied to the office; Coffé and von Schoultz emphasize issue positions and competence/experience,https://doi.org/10.1007/s11109-018-9486-0; https://doi.org/10.1177/0263395720922077,Есть позиции по предпринимательству/туризму и стоматологический бизнес-контекст.,Нет отдельной программы по округу №3 и проверки связи профессиональной квалификации с задачами депутата ЗакСа.,Сопоставить каждый заявленный опыт и тезис с конкретной задачей регионального парламента; отдельно проверить кампанию в Госдуму.,open
LG12,P1,candidate,Луговской Роман Андреевич,current personal programme,Bernhard and Freeder find that low-information voters need specific and verifiable policy information; Cruz et al. show the value of linking promises to outcomes,https://doi.org/10.1007/s11109-018-9512-2; https://doi.org/10.1093/ej/ueae008,"Есть исторические, научные и партийные материалы; текущая личная программа 2026 не найдена.",Не отделены текущие позиции от архивных; нет реестра обещаний и результатов предыдущей политической работы.,Искать личные заявления кампании 2026 и маркировать архивные тезисы как исторические до подтверждения актуальности.,open
